#station,X,Y,Z
dsa-0,-2409284.796076235,-4477897.001482909,3839349.516402577
dsa-1,-2402874.045425513,-4478546.685597342,3842592.8262383
dsa-2,-2402788.5337904627,-4478813.0206654025,3842337.5757839587
dsa-3,-2402628.8354786215,-4479031.989041569,3842183.4424759066
dsa-4,-2402844.1261701738,-4478834.654119695,3842277.86113257
dsa-5,-2403039.266053143,-4479009.877189364,3841953.228003497
dsa-6,-2402888.290301261,-4479400.818045128,3841594.4258242175
dsa-7,-2403451.537434345,-4482023.783243182,3838204.608093308
dsa-8,-2403337.860482795,-4482114.595880065,3838170.258304983
dsa-9,-2403314.037323655,-4481854.7517990265,3838486.1398995086
dsa-10,-2403431.1566393664,-4481710.897949326,3838579.792770622
dsa-11,-2403313.220848176,-4481426.210462501,3838983.1183812036
dsa-48,-2404749.775069712,-4482426.3838421535,3836928.9683069983
dsa-49,-2404865.4946003905,-4482312.669221368,3836988.5770907346
dsa-50,-2405464.684148156,-4482063.219380567,3836904.077997092
dsa-61,-2405006.2489572894,-4482961.990407793,3836148.5962203965
dsa-62,-2405190.0919206934,-4483097.916817245,3835876.530319549
dsa-63,-2404274.82431649,-4482588.3809986655,3837037.341197676
dsa-64,-2404835.3746805065,-4482363.886983366,3836948.015258728
dsa-65,-2404510.919669422,-4482076.091231578,3837483.6702394458
dsa-66,-2405361.7458503246,-4481675.79209385,3837417.0804246785
dsa-67,-2405329.035658373,-4481557.421671696,3837574.6028300487
dsa-68,-2404771.988972421,-4482042.897253246,3837359.3950090054
dsa-69,-2404989.527010693,-4482089.247861367,3837170.100643493
dsa-70,-2404508.757668567,-4482346.634996312,3837171.590128398
dsa-71,-2404855.295621335,-4481726.77859719,3837673.694683933
dsa-72,-2405106.2521936465,-4481657.53551787,3837597.486217395
dsa-73,-2405333.115666024,-4481409.90339696,3837742.961103715
dsa-74,-2405420.7683667326,-4481267.923670573,3837852.8100358364
dsa-75,-2405641.412687943,-4481321.807823745,3837652.8517596675
dsa-76,-2404609.8214942357,-4481730.041942105,3837822.9240120524
dsa-77,-2404583.2890995843,-4481839.654677116,3837712.4748112266
dsa-78,-2405060.146679728,-4481057.089883812,3838321.8473490924
dsa-79,-2405255.029777716,-4481348.897384792,3837862.3100156696
dsa-80,-2405192.8758624895,-4480908.074642298,3838411.7497389847
dsa-81,-2405460.6325755054,-4480970.233078366,3838172.8393301903
dsa-82,-2405685.9880235307,-4480818.581920341,3838208.059270263
dsa-83,-2406015.337753148,-4480714.166776398,3838123.7336562937
dsa-84,-2405890.7630391913,-4481324.545681614,3837494.2538322555
dsa-85,-2406212.1669995957,-4480693.905281147,3838024.5183883742
dsa-86,-2403879.9575206647,-4482378.0726745855,3837527.115559679
dsa-87,-2403875.367605825,-4482251.225055413,3837676.9308378417
dsa-88,-2404383.3515801607,-4482041.037898939,3837603.7961547077
dsa-89,-2403935.3823261866,-4481756.760406033,3838212.3646043125
dsa-90,-2403851.764211238,-4481951.414967853,3838038.976478072
dsa-91,-2404012.871915483,-4482122.962973281,3837739.814026991
dsa-92,-2403859.5837999876,-4482285.095784502,3837647.529676333
dsa-93,-2404270.0789695657,-4482132.122946918,3837568.8787398445
dsa-94,-2404365.302591011,-4481886.718655965,3837793.8269578214
dsa-95,-2403967.789891338,-4481732.254790389,3838220.554195105
