#X_ITRS,Y_ITRS,Z_ITRS
-2036875.5542459209,-4485024.484862062,4040852.9727887763
-2036925.7103279042,-4485094.423258343,4040750.7443837565
-2037043.8702606917,-4484947.495614426,4040853.5829122784
-2036873.5259466723,-4485172.954782704,4040690.284712062
-2037127.8989888825,-4484951.292344948,4040807.322046711
-2037158.5154587766,-4485111.345775538,4040615.5161589505
-2036611.0860501465,-4485016.212158796,4040994.5179046555
-2036783.8386604162,-4485299.137102477,4040596.0633578817
-2037481.7833328685,-4489526.6920494,4035585.26763646
-2036548.9570599406,-4485183.886245004,4040840.748626774
-2043405.4496188266,-4486478.341605524,4035980.316631381
-2040184.3193849684,-4483223.47638545,4041182.020444253
-2039936.8158653304,-4482137.331440162,4042503.5384103484
-2037337.8624318326,-4485254.980947072,4040367.3413076927
-2041195.8034116735,-4484943.28165321,4038779.287773944
-2034326.9091950168,-4490356.922046352,4036249.549439862
-2036964.8854266142,-4485497.126679232,4040287.1059521474
-2036618.7842371282,-4485471.272758195,4040488.9111946104
-2037357.939405561,-4485295.055962208,4040313.10152268
-2038145.9791416223,-4490730.526529544,4033925.3398902277
-2036358.264091634,-4485358.465397644,4040743.739894293
-2033423.4474701167,-4489322.828516247,4037842.124356957
-2037432.8656193924,-4484653.137127348,4040983.367659403
-2036503.420340289,-4485528.469062108,4040483.610870558
-2034670.4580895987,-4486895.1665152395,4039894.4778589825
-2036434.290542842,-4485511.147706377,4040537.3239151654
-2039734.9230628638,-4490176.539019294,4033740.5588460546
-2037595.0334011863,-4484892.608513726,4040638.1252213563
-2033529.8677010317,-4480784.678136093,4047203.0454504653
-2037594.872802199,-4485156.092850771,4040347.6864835327
-2036491.0455208584,-4485604.636663053,4040405.8243678734
-2037653.673261909,-4484985.340923543,4040506.51605454
-2040561.4581200986,-4484926.035838962,4039115.930255209
-2032836.6489563873,-4488874.246324975,4038630.5530356797
-2038437.0533700273,-4489300.5108130565,4035356.3367246045
-2034536.3032801547,-4490272.774701522,4036237.4836492627
-2037045.2691907152,-4485699.372715645,4040023.8589796317
-2031230.549356549,-4484783.242856773,4043945.5145762535
-2041024.0236441116,-4485384.864705671,4038378.4090496413
-2035197.0640853203,-4491689.028746959,4034345.060987263
-2041112.0186968516,-4485547.435638152,4038155.0969479643
-2036786.3328390687,-4485762.466010022,4040083.9457026613
-2037248.2041311555,-4485654.82981479,4039971.359330725
-2032842.2563568845,-4486055.573608496,4041735.6280010887
-2036074.0830830678,-4485289.594514233,4040961.9713985324
-2037031.0081748306,-4484274.171866326,4041602.4333149106
-2040110.180981448,-4483481.054812905,4040935.135500015
-2039380.7364165662,-4487216.48577397,4037181.6755112056
-2041639.4037341948,-4484136.045288735,4039447.2326358324
-2036220.1922608486,-4484630.368246039,4041615.6783128986
-2037797.2130304752,-4484811.58550894,4040626.226914892
-2036041.080626136,-4485340.718748754,4040922.126435994
-2036097.951124027,-4484775.988922627,4041516.3243793496
-2036736.7613668502,-4485844.70941474,4040018.084966377
-2036127.2399109625,-4484697.966992673,4041587.68637174
-2037835.2915278587,-4484833.853577284,4040582.6074986984
-2036169.7565178522,-4484633.303527602,4041637.6958658807
-2038073.1490691365,-4484502.943295509,4040828.3716384233
-2037274.2547545151,-4484205.647540688,4041556.191002051
-2035992.306014501,-4485413.188093744,4040866.6436257698
-2037879.9536658807,-4484912.48321641,4040473.546994139
-2042298.2625417816,-4487265.6948625455,4035666.5638267277
-2036156.6783513126,-4485669.341847872,4040501.9032682246
-2036004.1278451516,-4484804.023798835,4041532.391848807
-2037879.900976445,-4485072.220306339,4040297.4464595728
-2035982.2986321396,-4485495.745796038,4040780.625950445
-2037906.407140627,-4484726.444639777,4040665.4283708893
-2036331.7538228778,-4484336.303944956,4041884.054371228
-2037120.1834749389,-4485915.914989784,4039747.58756252
-2037243.383775343,-4484100.384546597,4041687.7121165465
-2036861.5911511043,-4482847.038730308,4043260.827373803
-2037103.1759391725,-4484076.730277635,4041783.9978104853
-2037988.6382009161,-4484722.175003368,4040628.9616439785
-2034107.8184749584,-4490633.965296041,4036053.7825028533
-2037679.5915788794,-4485634.899289152,4039777.3320114533
-2035825.3828744974,-4485424.176300887,4040938.1091453666
-2036613.7593443415,-4486022.909868699,4039883.189394814
-2036990.2080768966,-4486010.660601439,4039708.201403173
-2036516.4304969343,-4484148.344969134,4041998.8282217537
-2037958.4598078476,-4485296.562905859,4040010.749479607
-2037517.8310441875,-4484105.445796387,4041544.7112787548
-2042116.8241128004,-4488051.505932064,4034890.97381445
-2039980.584675155,-4487480.79086469,4036589.897465702
-2037658.250282823,-4485742.946057339,4039668.8850418497
-2037418.7627287202,-4485916.969825911,4039596.9209332876
-2035915.667183009,-4484566.625883892,4041838.4416952003
-2037569.501286991,-4485830.623363233,4039616.6496917135
-2037323.0090338448,-4485965.902620544,4039590.9128441704
-2036618.7961537116,-4486101.513159071,4039793.998998754
-2036004.0233224365,-4484429.432334309,4041945.470613824
-2035899.0916481176,-4482716.364018723,4043886.849357708
-2041150.6392120642,-4483163.042722834,4040764.802613517
-2038093.9095215595,-4485195.731478528,4040054.1048096307
-2035733.9022029794,-4485521.40818935,4040876.7066596523
-2035515.7934688071,-4485648.621741399,4040845.651002675
-2038073.1406544556,-4484479.045018224,4040854.7262122664
-2037391.3712588917,-4485980.494998343,4039540.5931204977
-2035768.6002699349,-4485642.5606475845,4040725.7494562124
-2043170.4542722409,-4487093.876576071,4035419.2907332215
-2032863.1478466545,-4485815.752407601,4041989.5953469737
-2035775.4228158232,-4485698.446696125,4040660.713057253
-2034353.087439634,-4488033.236074895,4038798.5493747382
-2038088.529982847,-4485364.8467881,4039870.3310443936
-2037473.2748918044,-4485983.015469666,4039496.803535018
-2032915.2771990069,-4489331.121293739,4038087.429943022
-2035845.0267881814,-4485829.232359033,4040481.656270895
-2037834.802199321,-4485737.855445052,4039586.095517213
-2038470.68763679,-4488105.094083329,4036657.5679776655
-2036448.8826752112,-4486185.093072402,4039786.9218506413
-2037572.8508312257,-4485966.002202656,4039465.7031318364
-2037717.3185363691,-4485868.665447838,4039500.68976122
-2041357.562777068,-4480401.743728312,4043705.814698048
-2036404.8801985364,-4483992.566691948,4042226.445207988
-2036484.960263003,-4486214.19126836,4039736.7733899285
-2035828.308382143,-4485906.198399181,4040405.1643106635
-2041742.2774250458,-4488175.672982293,4034941.608311668
