#state,X,Y,Z
LWA266,-2409394.570003794,-4477606.689434178,3839565.0853618234
LWA259,-2409184.7653408246,-4477289.569962069,3840064.092727579
LWA268,-2409402.726611566,-4477552.004591979,3839623.8909305963
LWA267,-2409129.396342207,-4477650.939028138,3839679.1538697006
LWA271,-2409312.9883053913,-4477304.6126043415,3839966.3155196216
LWA269,-2408966.189802606,-4477657.731216734,3839772.005463541
LWA276,-2409558.9687088104,-4477329.941027689,3839783.6659413753
LWA273,-2409665.2113520023,-4477269.587408377,3839787.26127421
LWA278,-2409203.364294785,-4477442.632526025,3839873.938216707
LWA277,-2408953.0626968625,-4477604.080108362,3839843.205780039
LWA282,-2409244.6508823684,-4477550.869597987,3839723.417363467
LWA281,-2409407.7815861884,-4477624.939653439,3839535.197424091
LWA307,-2409320.7922342783,-4477500.916841904,3839733.309407006
LWA285,-2409449.7703385763,-4477414.783987596,3839752.5196862165
LWA309,-2409064.4765823474,-4477517.281939983,3839874.592547317
LWA308,-2409288.21655743,-4477443.823849454,3839819.708665059
LWA311,-2409537.5950415586,-4477500.917721536,3839599.1313719554
LWA310,-2409126.822811514,-4477541.56790553,3839807.5759907346
LWA313,-2408907.444400956,-4477795.4583530985,3839648.5316583537
LWA312,-2409569.683672739,-4477399.20010886,3839695.3132568956
LWA321,-2409503.0099229934,-4477258.020068655,3839902.60475865
LWA314,-2409033.628971688,-4477739.491263415,3839635.7831563842
LWA330,-2408904.5240429915,-4477537.373339497,3839951.922251774
LWA327,-2409376.983000836,-4477226.906468979,3840017.1047684397
LWA338,-2409215.189708848,-4477652.160754842,3839624.202213647
LWA332,-2409086.080001487,-4477433.055354505,3839958.7991910516
LWA340,-2409385.0195436035,-4477375.709117084,3839839.2432768736
LWA339,-2409200.936865902,-4477377.862490094,3839951.3938560705
LWA352,-2409662.1761292894,-4477390.183907692,3839648.44769822
LWA341,-2410429.214871207,-4477759.762646672,3838731.7365800682
LWA362,-2409080.8332933043,-4478388.456946084,3838848.92665347
LWA353,-2409968.928542566,-4476763.5883912025,3840183.7145092497
LWA257,-2409928.194253588,-4477697.048681981,3839120.1009227913
LWA255,-2409479.2085896386,-4477761.299361056,3839332.759417678
LWA260,-2409687.203117145,-4477465.222499392,3839544.6226110165
LWA258,-2410069.028767468,-4477210.461991782,3839595.700329534
